,runstring,instability_time,shadow_instability_time,Stable,Mstar,Z12,Z23,mu1,mu2,mu3,e1,e2,e3,h1,h2,h3,k1,k2,k3,ecom,spockprob
356,0000356.bin,999000000.0341233,999000000.0341233,True,0.907,0.005968329923039455,0.13780636010956485,2.1817788992999997e-05,1.1201964774e-05,9.0633543e-08,0.11067529163745154,0.0912246158543025,0.23845125176087167,-0.09975418000000018,-0.08321479000000029,-0.23700471999999959,0.04793875000000018,0.03737953000000014,0.026225220000000122,0.10440222351679554,0.8400346040725708
357,0000357.bin,750138.5957684781,2257224.4024020317,False,0.907,0.005846968114255844,0.11549995544100172,1.9777920161999995e-05,1.1535973449e-05,9.942933e-09,0.0767296350288358,0.0615625944287999,0.1014027911503806,-0.07349677999999973,-0.05987343000000008,0.06922234,0.022037699999999653,0.014322199999999808,-0.07409989000000004,0.07106737649672487,0.7733782529830933
358,0000358.bin,1000000000.0,999999999.999999,True,0.907,0.0057355730479048865,0.026668109311832434,1.9972175223e-05,1.1808970173000001e-05,9.960239289e-06,0.047539460454772656,0.04206178476502639,0.06213989550687279,-0.038963220000000194,-0.029505630000000366,-0.056787270000000646,-0.027237249999999588,-0.029976849999999743,-0.025230389999999908,0.04900653607742792,0.8887426257133484
359,0000359.bin,1000000000.0,1000000000.0,True,0.907,0.006316079927705,0.11168325006815417,2.6326964664e-05,1.3080161094e-05,2.3974780829999997e-06,0.010573582971774347,0.012287527082228834,0.14698884334554527,0.006999429999999732,0.012246370000000294,0.12161301999999982,0.007925190000000009,0.001004859999999904,-0.08255902999999994,0.01522487924467662,0.8262746334075928
360,0000360.bin,2422854.8803408663,7184854.9703850765,False,0.907,0.006137062472419105,0.13153181571652464,2.2624917315e-05,1.3478806341e-05,2.49119871e-07,0.08973795515642766,0.07325236320935585,0.1078102683900608,-0.08815269000000009,-0.07264534999999996,0.10011645000000012,0.01679297000000017,0.00941072999999981,-0.039996880000000234,0.08225602866688633,0.5638861060142517
361,0000361.bin,999000000.0012852,999000000.0012852,True,0.907,0.006454308179672342,0.12447560873204223,2.4010027041e-05,1.843025184e-05,8.043235200000001e-07,0.01759310803479602,0.01822446171795723,0.14227803453931356,0.0125792600000002,0.017537779999999736,-0.14133610000000035,0.012299579999999968,0.0049555299999997785,0.016344600000000074,0.015013711738687267,0.9167949557304382
362,0000362.bin,999000000.0172242,999000000.0172242,True,0.907,0.0063918792914721915,0.009761704818952803,2.3489411946e-05,1.1661084435e-05,7.836427599e-06,0.08529810131261599,0.06784153509434214,0.059916154109616836,-0.07561897999999996,-0.061039369999999774,-0.0481095699999995,0.0394656300000001,0.02960859999999972,0.03571295000000004,0.07580141991078763,0.878875195980072
363,0000363.bin,999000000.003798,999000000.003798,True,0.907,0.006231290683606938,0.12319559512641151,2.2405815432e-05,1.6665364716e-05,3.128996871e-06,0.04201184903852724,0.03909698190526354,0.15184838366971987,-0.028325420000000337,-0.0195477800000003,0.12887107999999967,-0.031026859999999733,-0.0338593899999999,-0.08031299000000022,0.03815705354128722,0.42573097348213196
364,0000364.bin,999000000.0307024,999000000.0307024,True,0.907,0.005820081392412287,0.09168119336094205,2.3220433235999997e-05,1.0270046786999998e-05,8.71365495e-07,0.045179476937886376,0.03250947889026828,0.1337396113197985,-0.03154989000000003,-0.02240628000000002,-0.13242269999999956,0.032338670000000076,0.023554719999999953,0.01872196999999988,0.04297527413800297,0.9263557195663452
365,0000365.bin,25240546.10885388,17331414.523444902,False,0.907,0.006542311685547078,0.12897128840696429,2.7303366090000002e-05,1.6069092039e-05,1.7161844699999998e-07,0.028830849927452735,0.03438589584848007,0.14068120951399507,0.024333719999999993,0.02779300000000035,-0.13932191000000027,-0.015462470000000055,-0.020246949999999996,-0.019509180000000063,0.030341763165259463,0.8857481479644775
366,0000366.bin,1000000000.0,1000000000.0,True,0.907,0.005786665784283566,0.13541477021131976,1.9655677041000002e-05,1.4411937540000004e-05,3.17305989e-07,0.0495042155027891,0.03696911232473565,0.19688618716949735,-0.04530404999999983,-0.034818300000000274,-0.19631854999999962,0.01995521,0.01242583000000011,0.014939799999999878,0.04549925585467478,0.8516712784767151
367,0000367.bin,839034812.6505269,999000000.0106863,False,0.907,0.006098660899518862,0.13138045009661337,2.3987147184e-05,1.1858678832000002e-05,1.93615422e-07,0.08579343039785085,0.06860938132856938,0.19778427621879455,-0.050739849999999934,-0.03921309000000019,-0.1945956899999998,0.0691807799999999,0.05629903000000026,0.03537142000000001,0.08044313485199203,0.843386173248291
